PM10,PM25,TVOC,CO2,RISK
10,6,17,451,Low
10,6,32,462,Low
10,6,53,447,Low
10,6,30,449,Low
10,6,6,422,Low
10,6,35,400,Low
10,6,24,425,Low
10,6,46,442,Low
10,6,8,447,Low
10,6,28,435,Low
10,6,19,437,Low
10,6,39,437,Low
10,6,52,461,Low
10,6,9,444,Low
10,6,34,420,Low
10,6,33,400,Low
10,6,30,400,Low
10,6,28,449,Low
10,6,41,493,Low
10,6,0,421,Low
10,6,16,492,Low
10,6,40,463,Low
10,6,18,412,Low
10,6,35,436,Low
10,6,21,405,Low
10,6,57,472,Low
10,6,0,508,Low
10,6,0,451,Low
10,6,49,502,Low
10,6,35,479,Low
10,6,69,436,Moderate
10,6,68,455,Moderate
10,6,0,474,Low
10,6,70,430,Moderate
10,6,43,474,Low
10,6,36,406,Low
10,6,27,469,Low
10,6,61,452,Low
10,6,40,507,Low
10,6,30,467,Low
10,6,59,455,Low
10,6,29,455,Low
10,6,32,547,Low
10,6,86,466,Moderate
10,6,28,440,Low
10,6,12,462,Low
10,6,45,400,Low
10,6,21,448,Low
10,6,26,490,Low
10,6,0,472,Low
10,6,47,492,Low
10,6,0,507,Low
10,6,47,444,Low
10,6,39,467,Low
10,6,42,442,Low
10,6,49,445,Low
10,6,15,429,Low
10,6,48,400,Low
10,6,40,415,Low
10,6,50,438,Low
10,6,50,465,Low
10,6,41,439,Low
10,6,15,440,Low
10,6,18,431,Low
10,6,52,433,Low
10,6,32,463,Low
10,6,27,400,Low
10,6,43,434,Low
10,6,11,496,Low
10,6,45,400,Low
10,6,0,455,Low
10,6,25,463,Low
10,6,49,455,Low
10,6,36,424,Low
10,6,35,433,Low
10,6,36,448,Low
10,6,49,461,Low
10,6,31,433,Low
10,6,61,479,Low
10,6,49,490,Low
10,6,26,566,Low
10,6,12,482,Low
10,6,31,481,Low
10,6,25,499,Low
10,6,62,540,Low
10,6,0,484,Low
10,6,55,494,Low
10,6,43,400,Low
10,6,71,406,Moderate
10,6,0,459,Low
10,6,66,519,Moderate
10,6,24,486,Low
10,6,56,400,Low
10,6,104,468,Moderate
10,6,59,514,Low
10,6,29,598,Low
10,6,41,410,Low
10,6,76,501,Moderate
10,6,43,532,Low
10,6,6,460,Low
10,6,45,521,Low
10,6,16,486,Low
10,6,53,478,Low
10,6,37,488,Low
10,6,46,545,Low
10,6,68,500,Moderate
10,6,24,516,Low
10,6,45,483,Low
10,6,54,516,Low
10,6,31,497,Low
10,6,36,506,Low
10,6,35,480,Low
10,6,107,475,Moderate
10,6,52,509,Low
10,6,82,472,Moderate
10,6,71,504,Moderate
10,6,36,522,Low
10,6,19,478,Low
10,6,51,501,Low
10,6,74,513,Moderate
10,6,44,492,Low
10,6,90,476,Moderate
10,6,26,500,Low
10,6,42,541,Low
10,6,50,473,Low
10,6,21,494,Low
10,6,77,498,Moderate
10,6,37,530,Low
10,6,50,464,Low
10,6,58,476,Low
10,6,21,552,Low
10,6,38,462,Low
10,6,74,508,Moderate
10,6,84,548,Moderate
10,6,35,531,Low
10,6,43,537,Low
10,6,68,528,Moderate
10,6,62,532,Low
10,6,44,489,Low
10,6,37,576,Low
10,6,6,418,Low
10,6,25,494,Low
10,6,56,474,Low
10,6,0,549,Low
10,6,54,456,Low
10,6,45,530,Low
10,6,49,516,Low
10,6,98,461,Moderate
10,6,69,491,Moderate
10,6,50,551,Low
10,6,18,521,Low
10,6,50,570,Low
10,6,73,500,Moderate
10,6,37,504,Low
10,6,56,507,Low
10,6,26,519,Low
10,6,26,479,Low
10,6,31,477,Low
10,6,87,484,Moderate
10,6,71,535,Moderate
10,6,75,453,Moderate
10,6,56,550,Low
10,6,51,509,Low
10,6,25,498,Low
10,6,66,546,Moderate
10,6,74,541,Moderate
10,6,15,457,Low
10,6,8,546,Low
10,6,63,554,Low
10,6,55,535,Low
10,6,34,545,Low
10,6,128,478,Moderate
10,6,65,532,Moderate
10,6,25,525,Low
10,6,56,613,Low
10,6,40,524,Low
10,6,52,570,Low
10,6,26,508,Low
10,6,75,575,Moderate
10,6,80,496,Moderate
10,6,50,543,Low
10,6,69,552,Moderate
10,6,99,515,Moderate
10,6,53,500,Low
10,6,58,600,Low
10,6,18,522,Low
10,6,24,501,Low
10,6,14,592,Low
10,6,48,522,Low
10,6,48,478,Low
10,6,80,464,Moderate
10,6,84,521,Moderate
10,6,42,516,Low
10,6,62,560,Low
10,6,105,548,Moderate
10,6,42,444,Low
10,6,57,432,Low
10,6,31,438,Low
10,6,46,535,Low
10,6,66,508,Moderate
10,6,48,458,Low
10,6,36,481,Low
10,6,76,482,Moderate
10,6,42,468,Low
10,6,25,437,Low
10,6,57,444,Low
10,6,28,491,Low
10,6,42,511,Low
10,6,43,474,Low
10,6,44,411,Low
10,6,61,443,Low
10,6,32,478,Low
10,6,71,431,Moderate
10,6,28,502,Low
10,6,17,436,Low
10,6,44,460,Low
10,6,57,400,Low
10,6,32,440,Low
10,6,23,445,Low
10,6,34,481,Low
10,6,62,532,Low
10,6,37,426,Low
10,6,21,476,Low
10,6,51,506,Low
10,6,117,507,Moderate
10,6,34,509,Low
10,6,32,410,Low
10,6,34,462,Low
10,6,48,515,Low
10,6,72,487,Moderate
10,6,47,535,Low
10,6,33,429,Low
10,6,46,456,Low
10,6,9,474,Low
10,6,40,435,Low
10,6,42,422,Low
10,6,45,576,Low
10,6,46,477,Low
10,6,45,521,Low
10,6,68,536,Moderate
10,6,24,511,Low
10,6,17,493,Low
10,6,63,488,Low
10,6,16,502,Low
10,6,70,505,Moderate
10,6,28,432,Low
10,6,43,458,Low
10,6,65,416,Moderate
10,6,59,484,Low
10,6,72,483,Moderate
10,6,44,460,Low
10,6,75,467,Moderate
10,6,45,492,Low
10,6,51,528,Low
10,6,50,521,Low
10,6,46,469,Low
10,6,64,506,Low
10,6,69,480,Moderate
10,6,58,470,Low
10,6,56,493,Low
10,6,56,428,Low
10,6,43,474,Low
10,6,19,459,Low
10,6,25,498,Low
10,6,58,485,Low
10,6,35,462,Low
10,6,69,437,Moderate
10,6,15,544,Low
10,6,42,445,Low
10,6,48,457,Low
10,6,23,414,Low
10,6,34,433,Low
10,6,49,511,Low
10,6,58,594,Low
10,6,58,448,Low
10,6,51,504,Low
10,6,45,464,Low
10,6,36,501,Low
10,6,44,489,Low
10,6,70,400,Moderate
10,6,61,504,Low
10,6,86,472,Moderate
10,6,58,517,Low
10,6,48,488,Low
10,6,43,530,Low
10,6,47,463,Low
10,6,28,530,Low
10,6,48,511,Low
10,6,38,508,Low
10,6,63,410,Low
10,6,46,451,Low
10,6,50,434,Low
10,6,14,458,Low
10,6,33,467,Low
10,6,30,428,Low
10,6,60,458,Low
10,6,57,469,Low
10,6,61,485,Low
10,6,79,500,Moderate
10,6,66,480,Moderate
10,6,12,437,Low
10,6,45,511,Low
10,6,61,412,Low
10,6,43,564,Low
10,6,19,527,Low
10,6,38,480,Low
10,6,40,519,Low
10,6,29,531,Low
10,6,30,550,Low
10,6,57,518,Low
10,6,80,514,Moderate
10,6,60,554,Low
10,6,43,512,Low
10,6,27,508,Low
10,6,61,521,Low
10,6,36,508,Low
10,6,60,488,Low
10,6,44,505,Low
10,6,46,513,Low
10,6,44,405,Low
10,6,54,591,Low
10,6,69,533,Moderate
10,6,35,578,Low
10,6,44,559,Low
10,6,25,558,Low
10,6,108,557,Moderate
10,6,74,538,Moderate
10,6,74,593,Moderate
10,6,4,548,Low
10,6,27,548,Low
10,6,75,496,Moderate
10,6,46,543,Low
10,6,58,467,Low
10,6,25,528,Low
10,6,69,565,Moderate
10,6,37,502,Low
10,6,75,517,Moderate
10,6,63,476,Low
10,6,38,551,Low
10,6,90,551,Moderate
10,6,29,553,Low
10,6,51,487,Low
10,6,55,551,Low
10,6,25,459,Low
10,6,63,517,Low
10,6,71,552,Moderate
10,6,66,478,Moderate
10,6,70,511,Moderate
10,6,22,498,Low
10,6,103,535,Moderate
10,6,44,562,Low
10,6,48,476,Low
10,6,49,474,Low
10,6,55,520,Low
10,6,69,586,Moderate
10,6,98,529,Moderate
10,6,114,538,Moderate
10,6,66,525,Moderate
10,6,68,480,Moderate
10,6,69,552,Moderate
10,6,79,545,Moderate
10,6,65,542,Moderate
10,6,119,547,Moderate
10,6,68,547,Moderate
10,6,49,478,Low
10,6,54,513,Low
10,6,25,484,Low
10,6,79,422,Moderate
10,6,66,473,Moderate
10,6,62,492,Low
10,6,16,512,Low
10,6,46,545,Low
10,6,74,489,Moderate
10,6,52,535,Low
10,6,71,546,Moderate
10,6,67,511,Moderate
10,6,41,503,Low
10,6,91,554,Moderate
10,6,56,503,Low
10,6,71,470,Moderate
10,6,10,526,Low
10,6,89,524,Moderate
10,6,8,523,Low
10,6,62,555,Low
10,6,57,500,Low
10,6,90,478,Moderate
10,6,51,512,Low
10,6,53,549,Low
10,6,42,460,Low
10,6,34,518,Low
10,6,24,511,Low
10,6,70,513,Moderate
10,6,75,400,Moderate
10,6,59,487,Low
10,6,64,564,Low
10,6,72,496,Moderate
10,6,0,479,Low
10,6,79,467,Moderate
10,6,75,572,Moderate
10,6,63,433,Low
10,6,72,519,Moderate
10,6,51,467,Low
10,6,42,455,Low
10,6,60,500,Low
10,6,78,535,Moderate
10,6,19,492,Low
10,6,53,419,Low
10,6,25,405,Low
10,6,1,544,Low
10,6,70,511,Moderate
10,6,61,494,Low
10,6,35,439,Low
10,6,58,449,Low
10,6,49,468,Low
10,6,29,485,Low
10,6,67,464,Moderate
10,6,66,490,Moderate
10,6,81,515,Moderate
10,6,18,403,Low
10,6,42,431,Low
10,6,11,408,Low
10,6,20,400,Low
10,6,35,438,Low
10,6,28,458,Low
10,6,22,419,Low
10,6,19,417,Low
10,6,33,521,Low
10,6,2,423,Low
10,6,51,453,Low
10,6,32,433,Low
10,6,64,400,Low
10,6,57,400,Low
10,6,11,424,Low
10,6,49,420,Low
10,6,41,400,Low
10,6,20,409,Low
10,6,25,499,Low
10,6,31,455,Low
10,6,38,400,Low
10,6,45,405,Low
10,6,10,438,Low
10,6,29,431,Low
10,6,21,438,Low
10,6,56,400,Low
10,6,62,400,Low
10,6,0,400,Low
10,6,35,425,Low
10,6,35,400,Low
10,6,36,400,Low
10,6,11,400,Low
10,6,94,400,Moderate
10,6,43,400,Low
10,6,107,400,Moderate
10,6,9,482,Low
10,6,84,400,Moderate
10,6,0,400,Low
10,6,39,400,Low
10,6,56,406,Low
10,6,21,400,Low
10,6,79,414,Moderate
10,6,7,400,Low
10,6,11,400,Low
10,6,33,400,Low
10,6,16,400,Low
10,6,60,400,Low
10,6,13,425,Low
10,6,45,400,Low
10,6,30,400,Low
10,6,41,400,Low
10,6,51,400,Low
10,6,36,400,Low
10,6,59,400,Low
10,6,85,400,Moderate
10,6,38,400,Low
10,6,32,400,Low
10,6,24,400,Low
10,6,28,400,Low
10,6,18,400,Low
10,6,26,400,Low
10,6,16,400,Low
10,6,7,400,Low
10,6,27,408,Low
10,6,38,400,Low
10,6,43,428,Low
10,6,81,400,Moderate
10,6,66,430,Moderate
10,6,41,415,Low
10,6,16,427,Low
10,6,96,429,Moderate
10,6,10,444,Low
10,6,42,432,Low
10,6,32,433,Low
10,6,102,400,Moderate
10,6,26,456,Low
10,6,50,433,Low
10,6,94,400,Moderate
10,6,5,423,Low
10,6,39,425,Low
10,6,81,400,Moderate
10,6,11,400,Low
10,6,21,400,Low
10,6,39,400,Low
10,6,29,400,Low
10,6,30,400,Low
10,6,35,402,Low
10,6,35,424,Low
10,6,16,412,Low
10,6,39,409,Low
10,6,73,438,Moderate
10,6,39,453,Low
10,6,58,501,Low
10,6,44,400,Low
10,6,29,400,Low
10,6,17,411,Low
10,6,70,400,Moderate
10,6,41,406,Low
10,6,41,400,Low
10,6,17,400,Low
10,6,58,405,Low
10,6,48,437,Low
10,6,47,410,Low
10,6,42,418,Low
10,6,9,400,Low
10,6,46,400,Low
10,6,40,469,Low
10,6,33,400,Low
10,6,57,430,Low
10,6,47,400,Low
10,6,38,400,Low
10,6,62,400,Low
10,6,117,410,Moderate
10,6,7,435,Low
10,6,38,490,Low
10,6,16,455,Low
10,6,22,400,Low
10,6,60,400,Low
10,6,0,400,Low
10,6,58,400,Low
10,6,34,400,Low
10,6,36,400,Low
10,6,22,400,Low
10,6,18,400,Low
10,6,15,400,Low
10,6,10,400,Low
10,6,0,400,Low
10,6,13,400,Low
10,6,33,400,Low
10,6,35,404,Low
10,6,73,400,Moderate
10,6,56,400,Low
10,6,37,400,Low
10,6,58,419,Low
10,6,2,404,Low
10,6,30,425,Low
10,6,49,400,Low
10,6,39,416,Low
10,6,22,503,Low
10,6,36,400,Low
10,6,14,400,Low
10,6,37,400,Low
10,6,58,400,Low
10,6,39,406,Low
10,6,51,400,Low
10,6,43,400,Low
10,6,37,408,Low
10,6,1,400,Low
10,6,5,400,Low
10,6,46,401,Low
10,6,20,400,Low
10,6,2,400,Low
10,6,28,400,Low
10,6,40,408,Low
10,6,59,400,Low
10,6,107,436,Moderate
10,6,26,455,Low
10,6,35,400,Low
10,6,35,408,Low
10,6,49,400,Low
10,6,25,463,Low
10,6,56,423,Low
10,6,30,433,Low
10,6,30,448,Low
10,6,61,437,Low
10,6,17,471,Low
10,6,54,448,Low
10,6,3,400,Low
10,6,53,411,Low
10,6,14,400,Low
10,6,106,475,Moderate
10,6,30,430,Low
10,6,49,400,Low
10,6,23,435,Low
10,6,78,417,Moderate
10,6,123,400,Moderate
10,6,48,435,Low
10,6,80,400,Moderate
10,6,45,412,Low
10,6,49,400,Low
10,6,42,400,Low
10,6,13,400,Low
10,6,81,400,Moderate
10,6,45,445,Low
10,6,13,448,Low
10,6,22,469,Low
10,6,12,400,Low
10,6,29,400,Low
10,6,36,400,Low
10,6,74,400,Moderate
10,6,41,400,Low
10,6,1,400,Low
10,6,56,400,Low
10,6,89,423,Moderate
10,6,26,400,Low
10,6,35,400,Low
10,6,6,400,Low
10,6,0,400,Low
10,6,46,400,Low
10,6,45,400,Low
10,6,10,400,Low
10,6,24,400,Low
10,6,32,400,Low
10,6,26,400,Low
10,6,31,433,Low
10,6,34,400,Low
10,6,22,400,Low
10,6,69,400,Moderate
10,6,12,440,Low
10,6,70,430,Moderate
10,6,5,400,Low
10,6,30,400,Low
10,6,7,400,Low
10,6,36,400,Low
10,6,40,400,Low
10,6,34,400,Low
10,6,46,400,Low
10,6,33,400,Low
10,6,64,400,Low
10,6,52,402,Low
10,6,36,400,Low
10,6,32,400,Low
10,6,39,400,Low
10,6,56,400,Low
10,6,25,400,Low
10,6,30,442,Low
10,6,34,400,Low
10,6,31,400,Low
10,6,95,400,Moderate
10,6,29,429,Low
10,6,52,415,Low
10,6,57,407,Low
10,6,58,400,Low
10,6,3,400,Low
10,6,39,400,Low
10,6,40,400,Low
10,6,61,400,Low
10,6,30,400,Low
10,6,47,400,Low
10,6,33,425,Low
10,6,41,400,Low
10,6,30,400,Low
10,6,59,400,Low
10,6,37,426,Low
10,6,25,400,Low
10,6,47,400,Low
10,6,39,400,Low
10,6,36,400,Low
10,6,53,400,Low
10,6,0,400,Low
10,6,46,400,Low
10,6,43,400,Low
10,6,44,400,Low
10,6,29,400,Low
10,6,76,400,Moderate
10,6,23,400,Low
10,6,0,400,Low
10,6,41,400,Low
10,6,2,400,Low
10,6,43,400,Low
10,6,53,400,Low
10,6,84,400,Moderate
10,6,35,400,Low
10,6,39,400,Low
10,6,52,417,Low
10,6,26,400,Low
10,6,35,400,Low
10,6,43,400,Low
10,6,54,400,Low
10,6,23,400,Low
10,6,48,400,Low
10,6,34,400,Low
10,6,40,400,Low
10,6,40,407,Low
10,6,64,400,Low
10,6,32,419,Low
10,6,56,493,Low
10,6,40,400,Low
10,6,40,408,Low
10,6,110,400,Moderate
10,6,0,400,Low
10,6,76,415,Moderate
10,6,40,400,Low
10,6,115,400,Moderate
10,6,67,434,Moderate
10,6,32,400,Low
10,6,48,411,Low
10,6,24,400,Low
10,6,89,425,Moderate
10,6,45,414,Low
10,6,89,400,Moderate
10,6,59,415,Low
10,6,0,400,Low
10,6,56,422,Low
10,6,65,403,Moderate
10,6,48,400,Low
10,6,28,400,Low
10,6,42,409,Low
10,6,60,400,Low
10,6,22,455,Low
10,6,43,400,Low
10,6,37,400,Low
10,6,41,401,Low
10,6,28,400,Low
10,6,98,400,Moderate
10,6,98,448,Moderate
10,6,24,400,Low
10,6,0,400,Low
10,6,55,424,Low
10,6,55,400,Low
10,6,0,400,Low
10,6,48,400,Low
10,6,44,447,Low
10,6,58,463,Low
10,6,47,400,Low
10,6,23,400,Low
10,6,48,400,Low
10,6,72,400,Moderate
10,6,49,400,Low
10,6,46,400,Low
10,6,49,400,Low
10,6,39,400,Low
10,6,54,400,Low
10,6,33,400,Low
10,6,28,400,Low
10,6,43,486,Low
10,6,84,461,Moderate
10,6,24,434,Low
10,6,44,447,Low
10,6,70,472,Moderate
10,6,63,473,Low
10,6,94,462,Moderate
10,6,80,529,Moderate
10,6,23,501,Low
10,6,58,478,Low
10,6,87,525,Moderate
10,6,84,488,Moderate
10,6,41,556,Low
10,6,99,532,Moderate
10,6,97,455,Moderate
10,6,99,570,Moderate
10,6,151,485,Moderate
10,6,101,491,Moderate
10,6,57,451,Low
10,6,90,479,Moderate
10,6,73,418,Moderate
10,6,71,442,Moderate
10,6,76,484,Moderate
10,6,72,480,Moderate
10,6,140,467,Moderate
10,6,44,412,Low
10,6,64,400,Low
10,6,76,499,Moderate
10,6,62,414,Low
10,6,68,400,Moderate
10,6,93,400,Moderate
10,6,30,412,Low
10,6,88,416,Moderate
10,6,60,400,Low
10,6,31,443,Low
10,6,97,459,Moderate
10,6,97,411,Moderate
10,6,61,400,Low
10,6,60,433,Low
10,6,57,424,Low
10,6,67,400,Moderate
10,6,58,458,Low
10,6,133,421,Moderate
10,6,18,423,Low
10,6,53,467,Low
10,6,56,456,Low
10,6,76,400,Moderate
10,6,24,400,Low
10,6,65,425,Moderate
10,6,102,444,Moderate
10,6,68,434,Moderate
10,6,72,400,Moderate
10,6,74,400,Moderate
10,6,49,459,Low
7,5,46,400,Low
7,5,49,400,Low
7,5,17,417,Low
7,5,74,400,Moderate
7,5,68,400,Moderate
7,5,68,482,Moderate
7,5,67,400,Moderate
7,5,83,410,Moderate
7,5,71,408,Moderate
7,5,96,400,Moderate
7,5,86,447,Moderate
7,5,83,400,Moderate
7,5,68,407,Moderate
7,5,91,420,Moderate
7,5,103,423,Moderate
7,5,0,400,Low
7,5,97,401,Moderate
7,5,60,429,Low
7,5,71,470,Moderate
7,5,135,400,Moderate
7,5,109,400,Moderate
7,5,150,400,Moderate
7,5,101,465,Moderate
7,5,67,414,Moderate
7,5,77,400,Moderate
7,5,47,400,Low
7,5,51,400,Low
7,5,79,400,Moderate
7,5,57,400,Low
7,5,75,400,Moderate
7,5,72,400,Moderate
7,5,46,400,Low
7,5,69,400,Moderate
7,5,58,423,Low
7,5,59,400,Low
7,5,73,400,Moderate
7,5,59,400,Low
7,5,133,400,Moderate
7,5,119,400,Moderate
7,5,56,400,Low
7,5,85,400,Moderate
7,5,67,400,Moderate
7,5,69,400,Moderate
7,5,63,400,Low
7,5,77,409,Moderate
7,5,92,400,Moderate
7,5,26,400,Low
7,5,65,400,Moderate
7,5,89,400,Moderate
7,5,61,400,Low
7,5,37,400,Low
7,5,85,400,Moderate
7,5,52,400,Low
7,5,93,400,Moderate
7,5,26,400,Low
7,5,64,438,Low
7,5,59,442,Low
7,5,73,400,Moderate
7,5,66,400,Moderate
7,5,72,400,Moderate
7,5,42,400,Low
7,5,94,400,Moderate
7,5,36,400,Low
7,5,75,400,Moderate
7,5,52,405,Low
7,5,121,418,Moderate
7,5,45,400,Low
7,5,97,400,Moderate
7,5,130,400,Moderate
7,5,91,400,Moderate
7,5,69,463,Moderate
7,5,84,400,Moderate
7,5,79,420,Moderate
7,5,44,400,Low
7,5,64,400,Low
7,5,72,400,Moderate
7,5,108,400,Moderate
7,5,40,400,Low
7,5,47,400,Low
7,5,70,400,Moderate
7,5,86,515,Moderate
7,5,86,400,Moderate
7,5,32,400,Low
7,5,60,400,Low
7,5,55,400,Low
7,5,68,400,Moderate
7,5,67,400,Moderate
7,5,64,400,Low
7,5,72,400,Moderate
7,5,92,400,Moderate
7,5,72,400,Moderate
7,5,80,424,Moderate
7,5,71,456,Moderate
7,5,51,400,Low
7,5,66,400,Moderate
7,5,74,400,Moderate
7,5,84,400,Moderate
7,5,83,400,Moderate
7,5,45,481,Low
7,5,27,419,Low
7,5,110,411,Moderate
7,5,96,400,Moderate
7,5,75,431,Moderate
7,5,61,414,Low
7,5,30,409,Low
7,5,76,400,Moderate
7,5,83,400,Moderate
7,5,62,400,Low
7,5,57,400,Low
7,5,37,400,Low
7,5,72,400,Moderate
7,5,30,400,Low
7,5,62,418,Low
7,5,62,400,Low
7,5,109,400,Moderate
7,5,90,422,Moderate
7,5,33,400,Low
7,5,87,400,Moderate
7,5,76,400,Moderate
7,5,80,400,Moderate
7,5,82,400,Moderate
7,5,71,413,Moderate
7,5,43,400,Low
7,5,67,400,Moderate
7,5,107,400,Moderate
7,5,123,400,Moderate
7,5,58,401,Low
7,5,80,407,Moderate
7,5,97,400,Moderate
7,5,60,412,Low
7,5,119,400,Moderate
7,5,32,421,Low
7,5,63,400,Low
7,5,71,428,Moderate
7,5,105,400,Moderate
7,5,83,432,Moderate
7,5,73,449,Moderate
7,5,50,424,Low
7,5,72,431,Moderate
7,5,68,400,Moderate
7,5,111,400,Moderate
7,5,138,400,Moderate
7,5,73,400,Moderate
7,5,63,400,Low
7,5,56,400,Low
7,5,56,400,Low
7,5,86,400,Moderate
7,5,77,400,Moderate
7,5,52,423,Low
7,5,25,400,Low
7,5,51,400,Low
7,5,118,400,Moderate
7,5,81,400,Moderate
7,5,68,400,Moderate
7,5,91,489,Moderate
7,5,71,400,Moderate
7,5,75,400,Moderate
7,5,58,439,Low
7,5,88,419,Moderate
7,5,87,448,Moderate
7,5,34,400,Low
7,5,85,400,Moderate
7,5,64,434,Low
7,5,86,436,Moderate
7,5,90,440,Moderate
7,5,117,400,Moderate
7,5,106,484,Moderate
7,5,101,483,Moderate
7,5,125,425,Moderate
7,5,68,479,Moderate
7,5,101,400,Moderate
7,5,58,400,Low
7,5,101,400,Moderate
7,5,65,400,Moderate
7,5,74,400,Moderate
7,5,82,400,Moderate
7,5,89,400,Moderate
7,5,44,400,Low
7,5,12,400,Low
7,5,52,400,Low
7,5,27,400,Low
7,5,55,400,Low
7,5,61,400,Low
7,5,15,400,Low
7,5,51,422,Low
7,5,22,400,Low
7,5,0,400,Low
7,5,56,400,Low
7,5,66,400,Moderate
7,5,47,400,Low
7,5,69,400,Moderate
7,5,39,400,Low
7,5,67,400,Moderate
7,5,64,400,Low
7,5,65,400,Moderate
7,5,55,400,Low
7,5,91,400,Moderate
7,5,92,400,Moderate
7,5,84,400,Moderate
7,5,72,400,Moderate
7,5,40,467,Low
7,5,129,400,Moderate
7,5,95,400,Moderate
7,5,53,400,Low
7,5,73,400,Moderate
7,5,49,443,Low
7,5,80,400,Moderate
7,5,65,400,Moderate
7,5,62,402,Low
7,5,143,400,Moderate
7,5,39,407,Low
7,5,58,400,Low
7,5,61,400,Low
7,5,88,460,Moderate
7,5,71,400,Moderate
7,5,67,400,Moderate
7,5,107,400,Moderate
7,5,55,400,Low
7,5,27,400,Low
7,5,67,400,Moderate
7,5,48,400,Low
7,5,78,400,Moderate
7,5,79,400,Moderate
7,5,58,400,Low
7,5,21,400,Low
7,5,59,400,Low
7,5,40,400,Low
7,5,80,400,Moderate
7,5,35,400,Low
7,5,70,400,Moderate
7,5,64,400,Low
7,5,82,409,Moderate
7,5,97,400,Moderate
7,5,63,400,Low
7,5,82,400,Moderate
7,5,85,400,Moderate
7,5,42,400,Low
7,5,88,403,Moderate
7,5,66,400,Moderate
7,5,103,419,Moderate
7,5,45,400,Low
7,5,91,412,Moderate
7,5,59,400,Low
7,5,79,422,Moderate
7,5,76,400,Moderate
7,5,44,400,Low
7,5,116,400,Moderate
7,5,80,400,Moderate
7,5,42,400,Low
7,5,90,400,Moderate
7,5,49,400,Low
7,5,53,400,Low
7,5,68,400,Moderate
7,5,72,400,Moderate
7,5,29,400,Low
7,5,60,400,Low
7,5,55,400,Low
7,5,41,400,Low
7,5,62,400,Low
7,5,116,400,Moderate
7,5,56,400,Low
7,5,43,400,Low
7,5,8,400,Low
7,5,45,400,Low
7,5,110,400,Moderate
7,5,27,400,Low
7,5,0,400,Low
7,5,45,400,Low
7,5,51,400,Low
7,5,96,400,Moderate
7,5,30,400,Low
7,5,51,400,Low
7,5,75,400,Moderate
7,5,101,400,Moderate
7,5,72,400,Moderate
7,5,46,400,Low
7,5,41,400,Low
7,5,57,400,Low
7,5,78,400,Moderate
7,5,72,494,Moderate
7,5,72,400,Moderate
7,5,69,400,Moderate
7,5,51,400,Low
7,5,45,400,Low
7,5,45,418,Low
7,5,46,400,Low
7,5,74,400,Moderate
7,5,64,400,Low
7,5,25,400,Low
7,5,28,407,Low
7,5,39,400,Low
7,5,54,400,Low
7,5,43,400,Low
7,5,70,400,Moderate
7,5,59,400,Low
7,5,43,436,Low
7,5,63,400,Low
7,5,44,400,Low
7,5,53,400,Low
7,5,5,400,Low
7,5,33,400,Low
7,5,86,400,Moderate
7,5,49,412,Low
7,5,80,400,Moderate
7,5,94,403,Moderate
7,5,34,400,Low
7,5,55,400,Low
7,5,72,400,Moderate
7,5,117,426,Moderate
7,5,97,400,Moderate
7,5,20,400,Low
7,5,98,449,Moderate
7,5,43,422,Low
7,5,78,400,Moderate
7,5,76,404,Moderate
7,5,79,400,Moderate
7,5,118,400,Moderate
7,5,73,400,Moderate
7,5,93,421,Moderate
7,5,39,400,Low
